OBJECTID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
96,1265,Hernetie,Ärtvägen,Hernetie,Hernetie 2,Ärtvägen 2,Vantaa,Vantaa,City Bike Vantaa,20,25.0333627332086,60.2958318880297
97,1269,Heureka,Heureka,Heureka,Tiedepuisto 1,Vetenskapsparken 1,Vantaa,Vantaa,City Bike Vantaa,20,25.0419032738833,60.288621540095
98,1271,Keimolantie,Käinbyvägen,Keimolantie,Keimolantie 51,Käinbyvägen 51,Vantaa,Vantaa,City Bike Vantaa,10,24.8407742319481,60.3229952775996
99,1273,Tammistonkatu,Tammistogatan,Tammistonkatu,Tammistonkatu 3,Tammistogatan 3,Vantaa,Vantaa,City Bike Vantaa,20,24.9667526017197,60.2690918057701
100,1267,Pyhtäänkorventie,Pyttistådet,Pyhtäänkorventie,Pyhtäänkorventie 10,Pyttistådet 10,Vantaa,Vantaa,City Bike Vantaa,10,24.9734810817143,60.2998958185948
101,1300,Kirjastopuisto, Biblioteksparken,Kirjastopuisto,Lummekuja 8,Näckrosgränden 8,Vantaa,Vantaa,City Bike Vantaa,8,25.04185949,60.2947203399999
102,1301,Eric Von Rettingin puisto,Eric Von Rettigs park,Eric Von Rettigs park,Jokiniemenkatu 14,Ånäsgatan 14,Vantaa,Vantaa,City Bike Vantaa,8,25.04895926,60.29523753
103,1302,Hiekkaharjun koulu,Hiekkaharju skola,Hiekkaharju school,Talkootie 37,Talkovägen 37,Vantaa,Vantaa,City Bike Vantaa,8,25.0359393,60.3075037499999
104,1303,Lummetie,Näckrosvägen,Lummetie,Lummetie 36,Näckrosvägen 36,Vantaa,Vantaa,City Bike Vantaa,8,25.01763663,60.2983565499999
105,1304,Vantaan aikuisopisto,Vanda vuxenutbildningsinstitut,Vantaa adult education center,Lummetie 5,Näckrosvägen 5,Vantaa,Vantaa,City Bike Vantaa,8,25.0397834599999,60.2963209199999
106,1305,Ratatie,Banvägen,Ratatie,Ratatie 7,Banvägen 7,Vantaa,Vantaa,City Bike Vantaa,8,25.0419878399999,60.2910471399999
107,1306,Metsänhenki,Skogslyckan,Metsänhenki,Leineläntie 13,Lejlevägen 13,Vantaa,Vantaa,City Bike Vantaa,8,25.04096055,60.3244631699999
108,1307,Kuusijärvi,Hanaböle träsk,Kuusijärvi,Kuusijärventie 1,Hanaböleträskvägen 1,Vantaa,Vantaa,City Bike Vantaa,8,24.8570990499999,60.2735361499999
109,1308,Jokiuomanpuisto,Adalsparken,Jokiuomanpuisto,Eräkuja 7,Jaktgränden 7,Vantaa,Vantaa,City Bike Vantaa,8,25.11253774,60.31423764
110,1309,Tikkurilantie,Dickursbyvägen,Tikkurilantie,Tikkurilantie 54,Dickursbyvägen 54,Vantaa,Vantaa,City Bike Vantaa,8,25.03010299,60.2892091499999
111,1310,Osmankäämintie,Kaveldunsvägen,Osmankäämintie,Tikkurilantie 74,Dickursbyvägen 74,Vantaa,Vantaa,City Bike Vantaa,8,25.0175648199999,60.29155043
112,1311,Läntinen Valkoisenlähteentie,Västra Vitbäcksvägen,Läntinen Valkoisenlähteentie,Läntinen Valkoisenlähteentie 56,Västra Vitbäcksvägen 56,Vantaa,Vantaa,City Bike Vantaa,8,25.0230220999999,60.30185653
113,1312,Kielotie,Konvaljvägen,Kielotie,Tikkurilantie 46,Dickursbyvägen 46,Vantaa,Vantaa,City Bike Vantaa,8,25.03590434,60.2893069299999
114,1313,Möskärinmäki,Mösskärrsbacken,Möskärinmäki,Kallioimarteentie 26,Stensötsvägen 26,Vantaa,Vantaa,City Bike Vantaa,8,25.02653248,60.3170411899999
115,1314,Raatetie,Vattenklövervägen,Raatetie,Raatetie 25,Vattenklövervägen 25,Vantaa,Vantaa,City Bike Vantaa,8,25.0286342,60.30615516
116,1315,Hiekkatie,Sandvägen,Hiekkatie,Hiekkatie 1,Sandvägen 1,Vantaa,Vantaa,City Bike Vantaa,8,25.04152289,60.3047884599999
117,1316,Kukkakimpunpuisto,Blombukettsparken,Kukkakimpunpuisto,Hiekkaharjuntie 19,Sandkullavägen 19,Vantaa,Vantaa,City Bike Vantaa,8,25.04101005,60.30146253
118,1317,Leinelän Puistotie,Lejleallén,Leinelän Puistotie,Leinelän Puistotie 8,Lejleallén 8,Vantaa,Vantaa,City Bike Vantaa,8,25.0417413799999,60.32220249
119,1318,Koiruohonpuisto,Malörtsparken,Koiruohonpuisto,Koiruohonpolku 5,Malörtsstigen 5,Vantaa,Vantaa,City Bike Vantaa,8,25.02538416,60.2936028999999
120,1319,Peijaksentie,Pejasvägen,Peijaksentie,Peijaksentie 2,Pejasvägen 2,Vantaa,Vantaa,City Bike Vantaa,8,25.0996490199999,60.31567979
